month,price
1990M01,167.92
1990M02,160.94
1990M03,156.53
1990M04,159.47
1990M05,149.18
1990M06,135.58
1990M07,124.93
1990M08,116.84
1990M09,114.27
1990M10,114.64
1990M11,112.80
1990M12,113.17
1991M01,111.33
1991M02,113.91
1991M03,119.42
1991M04,120.89
1991M05,121.99
1991M06,120.15
1991M07,118.31
1991M08,125.30
1991M09,135.22
1991M10,146.97
1991M11,149.55
1991M12,160.94
1992M01,170.12
1992M02,177.10
1992M03,169.39
1992M04,159.83
1992M05,149.55
1992M06,148.81
1992M07,136.32
1992M08,128.24
1992M09,138.89
1992M10,140.73
1992M11,147.71
1992M12,147.71
1993M01,155.79
1993M02,148.81
1993M03,148.08
1993M04,141.83
1993M05,136.69
1993M06,121.99
1993M07,127.50
1993M08,129.71
1993M09,131.17
1993M10,135.95
1993M11,146.61
1993M12,158.73
1994M01,153.22
1994M02,146.97
1994M03,141.10
1994M04,140.36
1994M05,139.99
1994M06,139.26
1994M07,137.42
1994M08,145.87
1994M09,158.73
1994M10,167.18
1994M11,162.04
1994M12,164.61
1995M01,156.16
1995M02,154.32
1995M03,150.28
1995M04,148.81
1995M05,158.73
1995M06,170.12
1995M07,190.70
1995M08,184.45
1995M09,193.64
1995M10,203.73
1995M11,203.93
1995M12,208.92
1996M01,206.88
1996M02,218.89
1996M03,215.32
1996M04,257.61
1996M05,262.11
1996M06,227.34
1996M07,202.60
1996M08,191.63
1996M09,178.71
1996M10,178.00
1996M11,176.41
1996M12,175.70
1997M01,175.73
1997M02,172.35
1997M03,176.61
1997M04,183.49
1997M05,172.59
1997M06,148.39
1997M07,136.21
1997M08,150.61
1997M09,151.74
1997M10,151.59
1997M11,149.88
1997M12,144.62
1998M01,137.10
1998M02,140.05
1998M03,138.92
1998M04,130.15
1998M05,128.92
1998M06,120.64
1998M07,118.90
1998M08,107.95
1998M09,107.93
1998M10,126.54
1998M11,130.21
1998M12,126.21
1999M01,125.29
1999M02,117.03
1999M03,117.34
1999M04,113.87
1999M05,113.00
1999M06,111.41
1999M07,103.02
1999M08,111.30
1999M09,113.19
1999M10,108.10
1999M11,108.80
1999M12,102.16
2000M01,105.83
2000M02,107.93
2000M03,105.70
2000M04,105.11
2000M05,112.14
2000M06,113.51
2000M07,108.98
2000M08,108.36
2000M09,117.49
2000M10,128.18
2000M11,127.73
2000M12,128.09
2001M01,132.84
2001M02,128.11
2001M03,130.20
2001M04,129.67
2001M05,134.86
2001M06,127.23
2001M07,123.79
2001M08,121.92
2001M09,122.03
2001M10,123.34
2001M11,125.27
2001M12,122.44
2002M01,125.31
2002M02,123.28
2002M03,122.54
2002M04,123.72
2002M05,121.46
2002M06,132.03
2002M07,149.31
2002M08,161.26
2002M09,187.84
2002M10,190.32
2002M11,177.38
2002M12,162.48
2003M01,149.61
2003M02,150.84
2003M03,141.81
2003M04,138.62
2003M05,141.96
2003M06,131.35
2003M07,131.62
2003M08,148.72
2003M09,145.62
2003M10,147.46
2003M11,160.55
2003M12,165.57
2004M01,166.33
2004M02,161.39
2004M03,166.28
2004M04,166.58
2004M05,163.73
2004M06,154.74
2004M07,150.60
2004M08,141.29
2004M09,151.03
2004M10,150.15
2004M11,156.57
2004M12,153.87
2005M01,153.59
2005M02,151.17
2005M03,150.99
2005M04,140.88
2005M05,143.33
2005M06,141.93
2005M07,143.87
2005M08,149.36
2005M09,159.71
2005M10,167.83
2005M11,161.12
2005M12,164.44
2006M01,167.16
2006M02,179.84
2006M03,174.44
2006M04,180.35
2006M05,193.17
2006M06,195.16
2006M07,202.43
2006M08,189.91
2006M09,195.98
2006M10,212.09
2006M11,209.68
2006M12,204.31
2007M01,196.07
2007M02,199.98
2007M03,199.10
2007M04,198.31
2007M05,195.72
2007M06,223.04
2007M07,238.41
2007M08,259.73
2007M09,326.54
2007M10,335.15
2007M11,321.81
2007M12,368.62
2008M01,370.66
2008M02,425.00
2008M03,439.72
2008M04,362.23
2008M05,328.76
2008M06,348.55
2008M07,328.18
2008M08,329.34
2008M09,295.55
2008M10,237.38
2008M11,226.85
2008M12,220.14
2009M01,239.11
2009M02,224.69
2009M03,230.98
2009M04,233.47
2009M05,261.48
2009M06,256.64
2009M07,224.85
2009M08,210.37
2009M09,191.09
2009M10,198.85
2009M11,211.04
2009M12,206.25
2010M01,201.19
2010M02,194.00
2010M03,191.08
2010M04,192.87
2010M05,181.61
2010M06,157.67
2010M07,195.82
2010M08,246.25
2010M09,271.67
2010M10,270.23
2010M11,274.08
2010M12,306.52
2011M01,326.56
2011M02,348.12
2011M03,316.75
2011M04,336.12
2011M05,355.28
2011M06,326.43
2011M07,303.88
2011M08,327.07
2011M09,315.92
2011M10,289.01
2011M11,281.01
2011M12,269.03
2012M01,274.89
2012M02,277.77
2012M03,283.88
2012M04,266.32
2012M05,264.36
2012M06,276.19
2012M07,345.69
2012M08,349.40
2012M09,353.42
2012M10,358.20
2012M11,360.82
2012M12,347.96
2013M01,335.47
2013M02,318.94
2013M03,309.75
2013M04,308.28
2013M05,319.67
2013M06,313.42
2013M07,304.61
2013M08,305.34
2013M09,307.51
2013M10,325.69
2013M11,306.75
2013M12,291.56
2014M01,275.58
2014M02,292.11
2014M03,323.71
2014M04,324.81
2014M05,334.73
2014M06,306.44
2014M07,280.35
2014M08,263.45
2014M09,243.61
2014M10,245.45
2014M11,258.68
2014M12,269.70
2015M01,248.39
2015M02,237.00
2015M03,230.75
2015M04,223.40
2015M05,215.32
2015M06,209.81
2015M07,197.31
2015M08,179.68
2015M09,172.70
2015M10,172.71
2015M11,177.10
2015M12,189.23
2016M01,193.27
2016M02,187.03
2016M03,191.07
2016M04,187.39
2016M05,171.96
2016M06,173.06
2016M07,151.75
2016M08,149.18
2016M09,150.65
2016M10,151.75
2016M11,150.65
2016M12,141.83
2017M01,153.22
2017M02,155.06
2017M03,154.32
2017M04,166.08
2017M05,180.41
2017M06,189.60
2017M07,202.46
2017M08,171.23
2017M09,178.57
2017M10,175.63
2017M11,179.68
2017M12,184.09
2018M01,192.17
2018M02,192.17
2018M03,192.17
2018M04,213.85
2018M05,213.85
2018M06,219.36
2018M07,218.26
2018M08,236.63
2018M09,212.38
2018M10,213.48
2018M11,203.56
2018M12,211.28
2019M01,209.81
2019M02,218.99
2019M03,205.76
2019M04,199.52
2019M05,199.52
2019M06,206.13
2019M07,196.21
2019M08,181.15
2019M09,189.60
2019M10,199.52
2019M11,203.19
2019M12,210.91
2020M01,224.50
2020M02,215.32
2020M03,209.07
2020M04,218.99
2020M05,205.76
2020M06,198.42